Loc,ID,Pat,Mat,Block,Initial,Germ,Pods,NumPods,NumSeeds,EarliestGerm,EarliestFlowPod,CrossType
1.3.24,BU,P38H,P64K,1,5,2,1,4,0,132,237,Nes
1.3.3,BF,P63G,Y123B,1,3,3,3,51,46,132,202,Nes
1.3.4,DN,26A,31A,1,3,0,0,0,0,NA,NA,Fac
1.3.5,AA,P38H,P31B,1,5,1,1,6,5,146,216,Nes
1.3.6,GA,122B,140B,1,5,2,1,15,7,132,209,Fac
1.3.7,CN,B86B,R88B,1,3,0,0,0,0,NA,NA,Nes
1.3.8,BP,P62I,R82I,1,5,3,2,2,0,139,209,Nes
1.3.9,AV,B112F,B111D,1,5,0,0,0,0,NA,NA,Nes
1.4.1,BL,B112F,Y127D,1,5,4,4,13,14,139,209,Nes
1.4.10,FD,356A,136A,1,5,3,3,26,73,132,209,Fac
1.4.11,EK,22A,136A,1,5,4,4,32,42,132,209,Fac
1.4.12,FU,14B,356A,1,4,1,1,2,0,153,216,Fac
1.4.13,FJ,121A,331B,1,5,0,0,0,0,NA,NA,Fac
1.4.14,AT,P62G,R83E,1,4,2,0,0,0,139,NA,Nes
1.4.15,BY,B22C,P29E,1,5,3,3,23,40,132,209,Nes
1.4.16,CZ,139C,120B,1,2,0,0,0,0,NA,NA,Fac
1.4.17,DF,129A,130A,1,3,0,0,0,0,NA,NA,Fac
1.4.18,FP,331A,357A,1,5,0,0,0,0,NA,NA,Fac
1.4.19,DB,14C,122E,1,3,0,0,0,0,NA,NA,Fac
1.4.2,DA,32A,379A,1,4,0,0,0,0,NA,NA,Fac
1.4.20,GI,122D,140D,1,5,0,0,0,0,NA,NA,Fac
1.4.21,EV,110A,357A,1,1,0,0,0,0,NA,NA,Fac
1.4.22,FV,140B,122B,1,5,2,2,15,47,132,216,Fac
1.4.3,DC,122A,14A,1,5,0,0,0,0,NA,NA,Fac
1.4.4,GK,331A,32A,1,5,0,0,0,0,NA,NA,Fac
1.4.5,FA,129B,130C,1,5,4,4,52,25,132,202,Fac
1.4.6,EC,356A,140A,1,1,0,0,0,0,NA,NA,Fac
1.4.7,AC,P63G,P100C,1,3,0,0,0,0,NA,NA,Nes
1.4.8,BZ,Y124D,Y126C,1,5,4,4,34,49,132,202,Nes
1.4.9,CS,P63A,P31M,1,5,1,1,21,21,132,202,Nes
1.5.1,AX,P29I,Y127B,1,5,1,1,16,12,132,216,Nes
1.5.10,DX,379A,357A,1,5,2,1,10,8,132,216,Fac
1.5.11,DS,122E,140D,1,5,0,0,0,0,NA,NA,Fac
1.5.12,BB,R81E,P29C,1,5,4,0,0,0,132,209,Nes
1.5.13,DE,122D,14C,1,3,1,1,2,0,132,237,Fac
1.5.14,FW,129A,330A,1,5,1,1,5,0,132,209,Fac
1.5.15,BW,P29I,P83I,1,1,1,0,0,0,139,209,Nes
1.5.16,DI,140C,356A,1,4,0,0,0,0,NA,NA,Fac
1.5.17,XZ,misc,misc,1,5,0,0,0,0,NA,NA,Mis
1.5.18,AP,R80D,P62E,1,3,2,2,6,4,132,209,Nes
1.5.19,FS,24A,362A,1,5,0,0,0,0,NA,NA,Fac
1.5.2,BV,Y123G,R82K,1,5,1,0,0,0,174,230,Nes
1.5.20,FY,130A,139A,1,5,0,0,0,0,NA,NA,Fac
1.5.21,FK,356A,140B,1,5,2,2,32,43,132,216,Fac
